Id;RequiredRank;Lat;Lon;StartDay;StartMonth;StartYear;StartHour;StartMinute;EndDay;EndMonth;EndYear;EndHour;EndMinute
1;102;49.8209;18.2625;4;3;2026;18;0;4;3;2026;20;0
2;103;49.8209;18.2625;4;3;2026;18;0;4;3;2026;20;0
3;103;49.8209;18.2625;4;3;2026;18;0;4;3;2026;20;0
4;102;50.186;15.0417;5;3;2026;18;0;5;3;2026;20;0
5;104;50.186;15.0417;5;3;2026;18;0;5;3;2026;20;0
6;102;50.186;15.0417;5;3;2026;18;0;5;3;2026;20;0
7;106;50.6607;14.0322;5;3;2026;18;0;5;3;2026;20;0
8;106;50.6607;14.0322;5;3;2026;18;0;5;3;2026;20;0
9;103;50.6607;14.0322;5;3;2026;18;0;5;3;2026;20;0
10;106;49.3088;14.1475;6;3;2026;17;0;6;3;2026;19;0
11;103;49.3088;14.1475;6;3;2026;17;0;6;3;2026;19;0
12;102;49.3088;14.1475;6;3;2026;17;0;6;3;2026;19;0
13;102;50.186;15.0417;7;3;2026;15;0;7;3;2026;17;0
14;107;50.186;15.0417;7;3;2026;15;0;7;3;2026;17;0
15;107;50.186;15.0417;7;3;2026;15;0;7;3;2026;17;0
16;102;50.0755;14.4378;5;3;2026;18;0;5;3;2026;20;0
17;103;50.0755;14.4378;5;3;2026;18;0;5;3;2026;20;0
18;102;50.0755;14.4378;5;3;2026;18;0;5;3;2026;20;0
19;102;50.2103;15.8327;5;3;2026;19;0;5;3;2026;21;0
20;108;50.2103;15.8327;5;3;2026;19;0;5;3;2026;21;0
21;104;50.2103;15.8327;5;3;2026;19;0;5;3;2026;21;0
22;77;49.2264;17.6682;6;3;2026;19;0;6;3;2026;21;0
23;81;49.2264;17.6682;6;3;2026;19;0;6;3;2026;21;0
24;78;50.0343;15.7811;6;3;2026;20;0;6;3;2026;22;0
25;79;50.0343;15.7811;6;3;2026;20;0;6;3;2026;22;0
26;82;49.5944;18.0103;8;3;2026;16;0;8;3;2026;18;0
27;80;49.5944;18.0103;8;3;2026;16;0;8;3;2026;18;0
28;78;49.5937;17.2508;6;3;2026;19;0;6;3;2026;21;0
29;81;49.5937;17.2508;6;3;2026;19;0;6;3;2026;21;0
30;78;49.7438;15.3389;6;3;2026;19;30;6;3;2026;21;30
31;82;49.7438;15.3389;6;3;2026;19;30;6;3;2026;21;30
32;81;49.7438;15.3389;6;3;2026;19;30;6;3;2026;21;30
33;81;49.7438;15.3389;6;3;2026;19;30;6;3;2026;21;30
34;80;49.7438;15.3389;8;3;2026;18;0;8;3;2026;20;0
35;78;49.7438;15.3389;8;3;2026;18;0;8;3;2026;20;0
36;83;50.7671;15.0561;6;3;2026;19;30;6;3;2026;21;30
37;80;50.7671;15.0561;6;3;2026;19;30;6;3;2026;21;30
38;83;49.7438;15.3389;8;3;2026;18;0;8;3;2026;20;0
39;80;49.7438;15.3389;8;3;2026;18;0;8;3;2026;20;0
40;78;49.755;16.467;8;3;2026;18;0;8;3;2026;20;0
41;77;49.755;16.467;8;3;2026;18;0;8;3;2026;20;0
42;57;49.7438;15.3389;6;3;2026;19;0;6;3;2026;21;0
43;62;49.7438;15.3389;6;3;2026;19;0;6;3;2026;21;0
44;60;49.7438;15.3389;8;3;2026;10;0;8;3;2026;12;0
45;59;49.7438;15.3389;8;3;2026;10;0;8;3;2026;12;0
46;50;49.3088;14.1475;4;3;2026;18;30;4;3;2026;20;30
47;50;49.3088;14.1475;4;3;2026;18;30;4;3;2026;20;30
48;50;50.186;15.0417;7;3;2026;13;0;7;3;2026;15;0
49;53;50.186;15.0417;7;3;2026;13;0;7;3;2026;15;0
50;52;50.0343;15.7811;7;3;2026;14;0;7;3;2026;16;0
51;47;50.0343;15.7811;7;3;2026;14;0;7;3;2026;16;0
52;52;50.0755;14.4378;7;3;2026;15;30;7;3;2026;17;30
53;52;50.0755;14.4378;7;3;2026;15;30;7;3;2026;17;30
54;52;50.7821;14.2147;7;3;2026;16;15;7;3;2026;18;15
55;47;50.7821;14.2147;7;3;2026;16;15;7;3;2026;18;15
56;47;49.9386;17.9025;7;3;2026;17;0;7;3;2026;19;0
57;50;49.9386;17.9025;7;3;2026;17;0;7;3;2026;19;0
58;52;49.7438;15.3389;7;3;2026;18;0;7;3;2026;20;0
59;49;49.7438;15.3389;7;3;2026;18;0;7;3;2026;20;0
60;33;49.7438;15.3389;7;3;2026;11;0;7;3;2026;13;0
61;33;49.7438;15.3389;7;3;2026;11;0;7;3;2026;13;0
62;27;49.7438;15.3389;7;3;2026;17;0;7;3;2026;19;0
63;28;49.7438;15.3389;7;3;2026;17;0;7;3;2026;19;0
64;28;49.7438;15.3389;7;3;2026;18;0;7;3;2026;20;0
65;28;49.7438;15.3389;7;3;2026;18;0;7;3;2026;20;0
66;31;49.7438;15.3389;8;3;2026;10;0;8;3;2026;12;0
67;30;49.7438;15.3389;8;3;2026;10;0;8;3;2026;12;0
68;28;49.7438;15.3389;8;3;2026;10;0;8;3;2026;12;0
69;30;49.7438;15.3389;8;3;2026;10;0;8;3;2026;12;0
