Id;RequiredRank;Lat;Lon;StartDay;StartMonth;StartYear;StartHour;StartMinute;EndDay;EndMonth;EndYear;EndHour;EndMinute
1;70;49.8209;18.2625;1;10;2025;17;30;1;10;2025;19;30
2;40;49.8209;18.2625;1;10;2025;17;30;1;10;2025;19;30
3;10;49.8209;18.2625;1;10;2025;17;30;1;10;2025;19;30
4;40;50.0343;15.7812;1;10;2025;17;30;1;10;2025;19;30
5;10;50.0343;15.7812;1;10;2025;17;30;1;10;2025;19;30
6;70;50.1861;15.0417;1;10;2025;18;30;1;10;2025;20;30
7;40;50.1861;15.0417;1;10;2025;18;30;1;10;2025;20;30
8;40;50.0343;15.7812;1;10;2025;17;30;1;10;2025;19;30
9;10;50.0343;15.7812;1;10;2025;17;30;1;10;2025;19;30
10;70;50.1861;15.0417;1;10;2025;18;30;1;10;2025;20;30
11;40;50.1861;15.0417;1;10;2025;18;30;1;10;2025;20;30
12;10;50.1861;15.0417;1;10;2025;18;30;1;10;2025;20;30
13;70;49.1951;16.6068;1;11;2025;18;0;1;11;2025;20;0
14;40;49.1951;16.6068;1;11;2025;18;0;1;11;2025;20;0
15;10;49.1951;16.6068;1;11;2025;18;0;1;11;2025;20;0
16;70;50.0281;15.2006;1;11;2025;17;45;1;11;2025;19;45
17;40;50.0281;15.2006;1;11;2025;17;45;1;11;2025;19;45
18;10;50.0281;15.2006;1;11;2025;17;45;1;11;2025;19;45
19;70;49.1951;16.6068;2;10;2025;18;0;2;10;2025;20;0
20;40;49.1951;16.6068;2;10;2025;18;0;2;10;2025;20;0
21;10;49.1951;16.6068;2;10;2025;18;0;2;10;2025;20;0
22;70;50.0281;15.2006;2;10;2025;17;45;2;10;2025;19;45
23;40;50.0281;15.2006;2;10;2025;17;45;2;10;2025;19;45
24;10;50.0281;15.2006;2;10;2025;17;45;2;10;2025;19;45
25;70;49.8209;18.2625;2;11;2025;17;30;2;11;2025;19;30
26;40;49.8209;18.2625;2;11;2025;17;30;2;11;2025;19;30
27;10;49.8209;18.2625;2;11;2025;17;30;2;11;2025;19;30
28;70;50.1861;15.0417;2;11;2025;15;0;2;11;2025;17;0
29;40;50.1861;15.0417;2;11;2025;15;0;2;11;2025;17;0
30;10;50.1861;15.0417;2;11;2025;15;0;2;11;2025;17;0
31;70;50.0343;15.7812;2;11;2025;17;30;2;11;2025;19;30
32;40;50.0343;15.7812;2;11;2025;17;30;2;11;2025;19;30
33;10;50.0343;15.7812;2;11;2025;17;30;2;11;2025;19;30
34;70;50.0755;14.4378;2;11;2025;20;0;2;11;2025;22;0
35;40;50.0755;14.4378;2;11;2025;20;0;2;11;2025;22;0
36;10;50.0755;14.4378;2;11;2025;20;0;2;11;2025;22;0
37;70;49.4719;17.1102;3;12;2025;18;0;3;12;2025;20;0
38;40;49.4719;17.1102;3;12;2025;18;0;3;12;2025;20;0
