Id;RequiredRank;Lat;Lon;StartDay;StartMonth;StartYear;StartHour;StartMinute;EndDay;EndMonth;EndYear;EndHour;EndMinute
1;72;49.4719;17.1102;26;9;2025;17;0;26;9;2025;19;0
2;33;49.4719;17.1102;26;9;2025;17;0;26;9;2025;19;0
3;13;49.4719;17.1102;26;9;2025;17;0;26;9;2025;19;0
4;76;49.9391;17.9026;27;9;2025;18;30;27;9;2025;20;30
5;52;49.9391;17.9026;27;9;2025;18;30;27;9;2025;20;30
6;12;49.9391;17.9026;27;9;2025;18;30;27;9;2025;20;30
7;77;50.0755;14.4378;27;9;2025;17;30;27;9;2025;19;30
8;39;50.0755;14.4378;27;9;2025;17;30;27;9;2025;19;30
9;15;50.0755;14.4378;27;9;2025;17;30;27;9;2025;19;30
10;77;50.0755;14.4378;27;9;2025;18;0;27;9;2025;20;0
11;31;50.0755;14.4378;27;9;2025;18;0;27;9;2025;20;0
12;15;50.0755;14.4378;27;9;2025;18;0;27;9;2025;20;0
13;72;49.3088;14.1475;28;9;2025;17;0;28;9;2025;19;0
14;37;49.3088;14.1475;28;9;2025;17;0;28;9;2025;19;0
15;14;49.3088;14.1475;28;9;2025;17;0;28;9;2025;19;0
16;67;50.6607;14.0322;28;9;2025;18;0;28;9;2025;20;0
17;51;50.6607;14.0322;28;9;2025;18;0;28;9;2025;20;0
18;15;50.6607;14.0322;28;9;2025;18;0;28;9;2025;20;0
19;82;49.8209;18.2625;1;10;2025;17;30;1;10;2025;19;30
20;47;49.8209;18.2625;1;10;2025;17;30;1;10;2025;19;30
21;13;49.8209;18.2625;1;10;2025;17;30;1;10;2025;19;30
22;66;50.0755;14.4378;1;10;2025;20;0;1;10;2025;22;0
23;46;50.0755;14.4378;1;10;2025;20;0;1;10;2025;22;0
24;12;50.0755;14.4378;1;10;2025;20;0;1;10;2025;22;0
25;84;50.0343;15.7812;1;10;2025;17;30;1;10;2025;19;30
26;40;50.0343;15.7812;1;10;2025;17;30;1;10;2025;19;30
27;7;50.0343;15.7812;1;10;2025;17;30;1;10;2025;19;30
28;78;50.1861;15.0417;1;10;2025;18;30;1;10;2025;20;30
29;37;50.1861;15.0417;1;10;2025;18;30;1;10;2025;20;30
30;16;50.1861;15.0417;1;10;2025;18;30;1;10;2025;20;30
31;72;49.1951;16.6068;2;10;2025;18;0;2;10;2025;20;0
32;37;49.1951;16.6068;2;10;2025;18;0;2;10;2025;20;0
33;18;49.1951;16.6068;2;10;2025;18;0;2;10;2025;20;0
34;82;50.0281;15.2006;2;10;2025;17;45;2;10;2025;19;45
35;47;50.0281;15.2006;2;10;2025;17;45;2;10;2025;19;45
36;18;50.0281;15.2006;2;10;2025;17;45;2;10;2025;19;45
37;84;50.0755;14.4378;4;10;2025;18;0;4;10;2025;20;0
38;43;50.0755;14.4378;4;10;2025;18;0;4;10;2025;20;0
39;10;50.0755;14.4378;4;10;2025;18;0;4;10;2025;20;0
40;84;50.6607;14.0322;4;10;2025;18;0;4;10;2025;20;0
41;34;50.6607;14.0322;4;10;2025;18;0;4;10;2025;20;0
42;9;50.6607;14.0322;4;10;2025;18;0;4;10;2025;20;0
43;84;49.3088;14.1475;4;10;2025;18;0;4;10;2025;20;0
44;53;49.3088;14.1475;4;10;2025;18;0;4;10;2025;20;0
45;14;49.3088;14.1475;4;10;2025;18;0;4;10;2025;20;0
46;68;49.1439;15.003;5;10;2025;18;0;5;10;2025;20;0
47;50;49.1439;15.003;5;10;2025;18;0;5;10;2025;20;0
48;11;49.1439;15.003;5;10;2025;18;0;5;10;2025;20;0
49;77;49.4719;17.1102;5;10;2025;18;0;5;10;2025;20;0
50;40;49.4719;17.1102;5;10;2025;18;0;5;10;2025;20;0
51;12;49.4719;17.1102;5;10;2025;18;0;5;10;2025;20;0
52;72;49.9391;17.9026;5;10;2025;18;0;5;10;2025;20;0
53;50;49.9391;17.9026;5;10;2025;18;0;5;10;2025;20;0
54;15;49.9391;17.9026;5;10;2025;18;0;5;10;2025;20;0
55;80;49.8209;18.2625;11;10;2025;17;30;11;10;2025;19;30
56;47;49.8209;18.2625;11;10;2025;17;30;11;10;2025;19;30
57;9;49.8209;18.2625;11;10;2025;17;30;11;10;2025;19;30
58;76;49.1951;16.6068;11;10;2025;18;0;11;10;2025;20;0
59;34;49.1951;16.6068;11;10;2025;18;0;11;10;2025;20;0
60;6;49.1951;16.6068;11;10;2025;18;0;11;10;2025;20;0
61;78;50.0281;15.2006;11;10;2025;17;45;11;10;2025;19;45
62;47;50.0281;15.2006;11;10;2025;17;45;11;10;2025;19;45
63;18;50.0281;15.2006;11;10;2025;17;45;11;10;2025;19;45
64;80;50.1861;15.0417;12;10;2025;15;0;12;10;2025;17;0
65;38;50.1861;15.0417;12;10;2025;15;0;12;10;2025;17;0
66;6;50.1861;15.0417;12;10;2025;15;0;12;10;2025;17;0
67;81;50.0343;15.7812;12;10;2025;17;30;12;10;2025;19;30
68;43;50.0343;15.7812;12;10;2025;17;30;12;10;2025;19;30
69;11;50.0343;15.7812;12;10;2025;17;30;12;10;2025;19;30
70;73;50.0755;14.4378;12;10;2025;20;0;12;10;2025;22;0
71;32;50.0755;14.4378;12;10;2025;20;0;12;10;2025;22;0
72;15;50.0755;14.4378;12;10;2025;20;0;12;10;2025;22;0
73;79;49.4719;17.1102;15;10;2025;18;0;15;10;2025;20;0
74;33;49.4719;17.1102;15;10;2025;18;0;15;10;2025;20;0
75;11;49.4719;17.1102;15;10;2025;18;0;15;10;2025;20;0
76;77;49.9391;17.9026;15;10;2025;18;0;15;10;2025;20;0
77;44;49.9391;17.9026;15;10;2025;18;0;15;10;2025;20;0
78;16;49.9391;17.9026;15;10;2025;18;0;15;10;2025;20;0
79;70;49.1439;15.003;15;10;2025;18;0;15;10;2025;20;0
80;41;49.1439;15.003;15;10;2025;18;0;15;10;2025;20;0
81;8;49.1439;15.003;15;10;2025;18;0;15;10;2025;20;0
82;65;49.3088;14.1475;16;10;2025;18;0;16;10;2025;20;0
83;51;49.3088;14.1475;16;10;2025;18;0;16;10;2025;20;0
84;12;49.3088;14.1475;16;10;2025;18;0;16;10;2025;20;0
85;84;50.0755;14.4378;16;10;2025;18;0;16;10;2025;20;0
86;43;50.0755;14.4378;16;10;2025;18;0;16;10;2025;20;0
87;17;50.0755;14.4378;16;10;2025;18;0;16;10;2025;20;0
88;67;50.6607;14.0322;16;10;2025;18;0;16;10;2025;20;0
89;31;50.6607;14.0322;16;10;2025;18;0;16;10;2025;20;0
90;19;50.6607;14.0322;16;10;2025;18;0;16;10;2025;20;0
91;79;50.1861;15.0417;18;10;2025;15;0;18;10;2025;17;0
92;51;50.1861;15.0417;18;10;2025;15;0;18;10;2025;17;0
93;19;50.1861;15.0417;18;10;2025;15;0;18;10;2025;17;0
94;74;50.0343;15.7812;18;10;2025;17;30;18;10;2025;19;30
95;53;50.0343;15.7812;18;10;2025;17;30;18;10;2025;19;30
96;18;50.0343;15.7812;18;10;2025;17;30;18;10;2025;19;30
97;81;50.0755;14.4378;18;10;2025;20;0;18;10;2025;22;0
98;50;50.0755;14.4378;18;10;2025;20;0;18;10;2025;22;0
99;9;50.0755;14.4378;18;10;2025;20;0;18;10;2025;22;0
100;83;49.1951;16.6068;18;10;2025;18;0;18;10;2025;20;0
101;47;49.1951;16.6068;18;10;2025;18;0;18;10;2025;20;0
102;12;49.1951;16.6068;18;10;2025;18;0;18;10;2025;20;0
103;67;50.0281;15.2006;18;10;2025;17;45;18;10;2025;19;45
104;45;50.0281;15.2006;18;10;2025;17;45;18;10;2025;19;45
105;10;50.0281;15.2006;18;10;2025;17;45;18;10;2025;19;45
106;76;49.8209;18.2625;19;10;2025;17;30;19;10;2025;19;30
107;44;49.8209;18.2625;19;10;2025;17;30;19;10;2025;19;30
108;7;49.8209;18.2625;19;10;2025;17;30;19;10;2025;19;30
109;75;49.9391;17.9026;22;10;2025;18;0;22;10;2025;20;0
110;45;49.9391;17.9026;22;10;2025;18;0;22;10;2025;20;0
111;10;49.9391;17.9026;22;10;2025;18;0;22;10;2025;20;0
112;67;49.4719;17.1102;22;10;2025;18;0;22;10;2025;20;0
113;44;49.4719;17.1102;22;10;2025;18;0;22;10;2025;20;0
114;11;49.4719;17.1102;22;10;2025;18;0;22;10;2025;20;0
115;77;49.1439;15.003;22;10;2025;18;0;22;10;2025;20;0
116;38;49.1439;15.003;22;10;2025;18;0;22;10;2025;20;0
117;12;49.1439;15.003;22;10;2025;18;0;22;10;2025;20;0
118;84;50.6607;14.0322;23;10;2025;18;0;23;10;2025;20;0
119;37;50.6607;14.0322;23;10;2025;18;0;23;10;2025;20;0
120;7;50.6607;14.0322;23;10;2025;18;0;23;10;2025;20;0
121;70;49.3088;14.1475;23;10;2025;18;0;23;10;2025;20;0
122;52;49.3088;14.1475;23;10;2025;18;0;23;10;2025;20;0
123;12;49.3088;14.1475;23;10;2025;18;0;23;10;2025;20;0
124;78;50.0755;14.4378;23;10;2025;18;0;23;10;2025;20;0
125;51;50.0755;14.4378;23;10;2025;18;0;23;10;2025;20;0
126;14;50.0755;14.4378;23;10;2025;18;0;23;10;2025;20;0
127;76;50.1861;15.0417;25;10;2025;15;0;25;10;2025;17;0
128;51;50.1861;15.0417;25;10;2025;15;0;25;10;2025;17;0
129;12;50.1861;15.0417;25;10;2025;15;0;25;10;2025;17;0
130;71;50.0343;15.7812;25;10;2025;17;30;25;10;2025;19;30
131;31;50.0343;15.7812;25;10;2025;17;30;25;10;2025;19;30
132;15;50.0343;15.7812;25;10;2025;17;30;25;10;2025;19;30
133;84;50.0755;14.4378;25;10;2025;20;0;25;10;2025;22;0
134;32;50.0755;14.4378;25;10;2025;20;0;25;10;2025;22;0
135;5;50.0755;14.4378;25;10;2025;20;0;25;10;2025;22;0
136;81;49.1951;16.6068;26;10;2025;18;0;26;10;2025;20;0
137;51;49.1951;16.6068;26;10;2025;18;0;26;10;2025;20;0
138;6;49.1951;16.6068;26;10;2025;18;0;26;10;2025;20;0
139;74;50.0281;15.2006;26;10;2025;17;45;26;10;2025;19;45
140;31;50.0281;15.2006;26;10;2025;17;45;26;10;2025;19;45
141;16;50.0281;15.2006;26;10;2025;17;45;26;10;2025;19;45
142;76;49.8209;18.2625;27;10;2025;17;30;27;10;2025;19;30
143;34;49.8209;18.2625;27;10;2025;17;30;27;10;2025;19;30
144;11;49.8209;18.2625;27;10;2025;17;30;27;10;2025;19;30
145;70;49.1439;15.003;29;10;2025;18;0;29;10;2025;20;0
146;36;49.1439;15.003;29;10;2025;18;0;29;10;2025;20;0
147;12;49.1439;15.003;29;10;2025;18;0;29;10;2025;20;0
148;66;49.4719;17.1102;29;10;2025;18;0;29;10;2025;20;0
149;44;49.4719;17.1102;29;10;2025;18;0;29;10;2025;20;0
150;13;49.4719;17.1102;29;10;2025;18;0;29;10;2025;20;0
151;80;49.9391;17.9026;29;10;2025;18;0;29;10;2025;20;0
152;51;49.9391;17.9026;29;10;2025;18;0;29;10;2025;20;0
153;14;49.9391;17.9026;29;10;2025;18;0;29;10;2025;20;0
154;70;50.6607;14.0322;30;10;2025;18;0;30;10;2025;20;0
155;32;50.6607;14.0322;30;10;2025;18;0;30;10;2025;20;0
156;14;50.6607;14.0322;30;10;2025;18;0;30;10;2025;20;0
157;74;49.3088;14.1475;30;10;2025;18;0;30;10;2025;20;0
158;46;49.3088;14.1475;30;10;2025;18;0;30;10;2025;20;0
159;10;49.3088;14.1475;30;10;2025;18;0;30;10;2025;20;0
160;67;50.0755;14.4378;30;10;2025;18;0;30;10;2025;20;0
161;32;50.0755;14.4378;30;10;2025;18;0;30;10;2025;20;0
162;16;50.0755;14.4378;30;10;2025;18;0;30;10;2025;20;0
163;69;49.1951;16.6068;1;11;2025;18;0;1;11;2025;20;0
164;33;49.1951;16.6068;1;11;2025;18;0;1;11;2025;20;0
165;6;49.1951;16.6068;1;11;2025;18;0;1;11;2025;20;0
166;81;50.0281;15.2006;1;11;2025;17;45;1;11;2025;19;45
167;51;50.0281;15.2006;1;11;2025;17;45;1;11;2025;19;45
168;12;50.0281;15.2006;1;11;2025;17;45;1;11;2025;19;45
169;75;49.8209;18.2625;2;11;2025;17;30;2;11;2025;19;30
170;49;49.8209;18.2625;2;11;2025;17;30;2;11;2025;19;30
171;9;49.8209;18.2625;2;11;2025;17;30;2;11;2025;19;30
172;81;50.1861;15.0417;2;11;2025;15;0;2;11;2025;17;0
173;31;50.1861;15.0417;2;11;2025;15;0;2;11;2025;17;0
174;14;50.1861;15.0417;2;11;2025;15;0;2;11;2025;17;0
175;66;50.0343;15.7812;2;11;2025;17;30;2;11;2025;19;30
176;41;50.0343;15.7812;2;11;2025;17;30;2;11;2025;19;30
177;14;50.0343;15.7812;2;11;2025;17;30;2;11;2025;19;30
178;83;50.0755;14.4378;2;11;2025;20;0;2;11;2025;22;0
179;53;50.0755;14.4378;2;11;2025;20;0;2;11;2025;22;0
180;10;50.0755;14.4378;2;11;2025;20;0;2;11;2025;22;0
181;70;49.4719;17.1102;5;11;2025;18;0;5;11;2025;20;0
182;45;49.4719;17.1102;5;11;2025;18;0;5;11;2025;20;0
183;19;49.4719;17.1102;5;11;2025;18;0;5;11;2025;20;0
184;72;49.9391;17.9026;5;11;2025;18;0;5;11;2025;20;0
185;32;49.9391;17.9026;5;11;2025;18;0;5;11;2025;20;0
186;18;49.9391;17.9026;5;11;2025;18;0;5;11;2025;20;0
187;82;49.1439;15.003;5;11;2025;18;0;5;11;2025;20;0
188;38;49.1439;15.003;5;11;2025;18;0;5;11;2025;20;0
189;6;49.1439;15.003;5;11;2025;18;0;5;11;2025;20;0
190;80;50.6607;14.0322;6;11;2025;18;0;6;11;2025;20;0
191;51;50.6607;14.0322;6;11;2025;18;0;6;11;2025;20;0
192;5;50.6607;14.0322;6;11;2025;18;0;6;11;2025;20;0
193;66;49.3088;14.1475;6;11;2025;18;0;6;11;2025;20;0
194;41;49.3088;14.1475;6;11;2025;18;0;6;11;2025;20;0
195;7;49.3088;14.1475;6;11;2025;18;0;6;11;2025;20;0
196;72;50.0755;14.4378;6;11;2025;18;0;6;11;2025;20;0
197;32;50.0755;14.4378;6;11;2025;18;0;6;11;2025;20;0
198;12;50.0755;14.4378;6;11;2025;18;0;6;11;2025;20;0
199;76;50.1861;15.0417;8;11;2025;15;0;8;11;2025;17;0
200;31;50.1861;15.0417;8;11;2025;15;0;8;11;2025;17;0
201;14;50.1861;15.0417;8;11;2025;15;0;8;11;2025;17;0
202;77;50.0343;15.7812;8;11;2025;17;30;8;11;2025;19;30
203;34;50.0343;15.7812;8;11;2025;17;30;8;11;2025;19;30
204;15;50.0343;15.7812;8;11;2025;17;30;8;11;2025;19;30
205;66;50.0755;14.4378;8;11;2025;20;0;8;11;2025;22;0
206;42;50.0755;14.4378;8;11;2025;20;0;8;11;2025;22;0
207;10;50.0755;14.4378;8;11;2025;20;0;8;11;2025;22;0
208;83;49.1951;16.6068;9;11;2025;18;0;9;11;2025;20;0
209;37;49.1951;16.6068;9;11;2025;18;0;9;11;2025;20;0
210;19;49.1951;16.6068;9;11;2025;18;0;9;11;2025;20;0
211;82;50.0281;15.2006;9;11;2025;17;45;9;11;2025;19;45
212;45;50.0281;15.2006;9;11;2025;17;45;9;11;2025;19;45
213;15;50.0281;15.2006;9;11;2025;17;45;9;11;2025;19;45
214;82;49.8209;18.2625;10;11;2025;17;30;10;11;2025;19;30
215;43;49.8209;18.2625;10;11;2025;17;30;10;11;2025;19;30
216;18;49.8209;18.2625;10;11;2025;17;30;10;11;2025;19;30
217;83;49.1439;15.003;12;11;2025;18;0;12;11;2025;20;0
218;49;49.1439;15.003;12;11;2025;18;0;12;11;2025;20;0
219;10;49.1439;15.003;12;11;2025;18;0;12;11;2025;20;0
220;79;49.4719;17.1102;12;11;2025;18;0;12;11;2025;20;0
221;51;49.4719;17.1102;12;11;2025;18;0;12;11;2025;20;0
222;19;49.4719;17.1102;12;11;2025;18;0;12;11;2025;20;0
223;75;49.9391;17.9026;12;11;2025;18;0;12;11;2025;20;0
224;39;49.9391;17.9026;12;11;2025;18;0;12;11;2025;20;0
225;15;49.9391;17.9026;12;11;2025;18;0;12;11;2025;20;0
226;65;50.6607;14.0322;13;11;2025;18;0;13;11;2025;20;0
227;30;50.6607;14.0322;13;11;2025;18;0;13;11;2025;20;0
228;11;50.6607;14.0322;13;11;2025;18;0;13;11;2025;20;0
229;68;49.3088;14.1475;13;11;2025;18;0;13;11;2025;20;0
230;33;49.3088;14.1475;13;11;2025;18;0;13;11;2025;20;0
231;14;49.3088;14.1475;13;11;2025;18;0;13;11;2025;20;0
232;70;50.0755;14.4378;13;11;2025;18;0;13;11;2025;20;0
233;30;50.0755;14.4378;13;11;2025;18;0;13;11;2025;20;0
234;8;50.0755;14.4378;13;11;2025;18;0;13;11;2025;20;0
235;71;49.8209;18.2625;29;11;2025;17;30;29;11;2025;19;30
236;36;49.8209;18.2625;29;11;2025;17;30;29;11;2025;19;30
237;15;49.8209;18.2625;29;11;2025;17;30;29;11;2025;19;30
238;65;49.1951;16.6068;29;11;2025;18;0;29;11;2025;20;0
239;36;49.1951;16.6068;29;11;2025;18;0;29;11;2025;20;0
240;16;49.1951;16.6068;29;11;2025;18;0;29;11;2025;20;0
241;69;50.0281;15.2006;29;11;2025;17;45;29;11;2025;19;45
242;42;50.0281;15.2006;29;11;2025;17;45;29;11;2025;19;45
243;8;50.0281;15.2006;29;11;2025;17;45;29;11;2025;19;45
244;75;50.1861;15.0417;30;11;2025;15;0;30;11;2025;17;0
245;51;50.1861;15.0417;30;11;2025;15;0;30;11;2025;17;0
246;5;50.1861;15.0417;30;11;2025;15;0;30;11;2025;17;0
247;65;50.0343;15.7812;30;11;2025;17;30;30;11;2025;19;30
248;44;50.0343;15.7812;30;11;2025;17;30;30;11;2025;19;30
249;16;50.0343;15.7812;30;11;2025;17;30;30;11;2025;19;30
250;68;50.0755;14.4378;30;11;2025;20;0;30;11;2025;22;0
251;43;50.0755;14.4378;30;11;2025;20;0;30;11;2025;22;0
252;15;50.0755;14.4378;30;11;2025;20;0;30;11;2025;22;0
253;72;49.4719;17.1102;3;12;2025;18;0;3;12;2025;20;0
254;39;49.4719;17.1102;3;12;2025;18;0;3;12;2025;20;0
255;19;49.4719;17.1102;3;12;2025;18;0;3;12;2025;20;0
256;68;49.9391;17.9026;3;12;2025;18;0;3;12;2025;20;0
257;49;49.9391;17.9026;3;12;2025;18;0;3;12;2025;20;0
258;6;49.9391;17.9026;3;12;2025;18;0;3;12;2025;20;0
259;83;49.1439;15.003;3;12;2025;18;0;3;12;2025;20;0
260;42;49.1439;15.003;3;12;2025;18;0;3;12;2025;20;0
261;16;49.1439;15.003;3;12;2025;18;0;3;12;2025;20;0
262;75;50.6607;14.0322;4;12;2025;18;0;4;12;2025;20;0
263;46;50.6607;14.0322;4;12;2025;18;0;4;12;2025;20;0
264;7;50.6607;14.0322;4;12;2025;18;0;4;12;2025;20;0
265;82;49.3088;14.1475;4;12;2025;18;0;4;12;2025;20;0
266;42;49.3088;14.1475;4;12;2025;18;0;4;12;2025;20;0
267;15;49.3088;14.1475;4;12;2025;18;0;4;12;2025;20;0
268;80;50.0755;14.4378;4;12;2025;18;0;4;12;2025;20;0
269;30;50.0755;14.4378;4;12;2025;18;0;4;12;2025;20;0
270;15;50.0755;14.4378;4;12;2025;18;0;4;12;2025;20;0
271;74;50.1861;15.0417;6;12;2025;15;0;6;12;2025;17;0
272;53;50.1861;15.0417;6;12;2025;15;0;6;12;2025;17;0
273;5;50.1861;15.0417;6;12;2025;15;0;6;12;2025;17;0
274;76;50.0343;15.7812;6;12;2025;17;30;6;12;2025;19;30
275;48;50.0343;15.7812;6;12;2025;17;30;6;12;2025;19;30
276;8;50.0343;15.7812;6;12;2025;17;30;6;12;2025;19;30
277;75;50.0755;14.4378;6;12;2025;20;0;6;12;2025;22;0
278;32;50.0755;14.4378;6;12;2025;20;0;6;12;2025;22;0
279;18;50.0755;14.4378;6;12;2025;20;0;6;12;2025;22;0
280;83;49.1951;16.6068;7;12;2025;18;0;7;12;2025;20;0
281;47;49.1951;16.6068;7;12;2025;18;0;7;12;2025;20;0
282;11;49.1951;16.6068;7;12;2025;18;0;7;12;2025;20;0
283;78;50.0281;15.2006;7;12;2025;17;45;7;12;2025;19;45
284;33;50.0281;15.2006;7;12;2025;17;45;7;12;2025;19;45
285;9;50.0281;15.2006;7;12;2025;17;45;7;12;2025;19;45
286;75;49.8209;18.2625;8;12;2025;17;30;8;12;2025;19;30
287;49;49.8209;18.2625;8;12;2025;17;30;8;12;2025;19;30
288;9;49.8209;18.2625;8;12;2025;17;30;8;12;2025;19;30
289;65;49.1439;15.003;10;12;2025;18;0;10;12;2025;20;0
290;47;49.1439;15.003;10;12;2025;18;0;10;12;2025;20;0
291;12;49.1439;15.003;10;12;2025;18;0;10;12;2025;20;0
292;79;49.4719;17.1102;10;12;2025;18;0;10;12;2025;20;0
293;38;49.4719;17.1102;10;12;2025;18;0;10;12;2025;20;0
