Id;RequiredRank;Lat;Lon;StartDay;StartMonth;StartYear;StartHour;StartMinute;EndDay;EndMonth;EndYear;EndHour;EndMinute
1;70;49.4719;17.1102;26;9;2025;17;0;26;9;2025;19;0
2;40;49.4719;17.1102;26;9;2025;17;0;26;9;2025;19;0
3;10;49.4719;17.1102;26;9;2025;17;0;26;9;2025;19;0
4;70;49.9391;17.9026;27;9;2025;18;30;27;9;2025;20;30
5;40;49.9391;17.9026;27;9;2025;18;30;27;9;2025;20;30
6;10;49.9391;17.9026;27;9;2025;18;30;27;9;2025;20;30
7;70;50.0755;14.4378;27;9;2025;17;30;27;9;2025;19;30
8;40;50.0755;14.4378;27;9;2025;17;30;27;9;2025;19;30
9;10;50.0755;14.4378;27;9;2025;17;30;27;9;2025;19;30
10;70;50.0755;14.4378;27;9;2025;18;0;27;9;2025;20;0
11;40;50.0755;14.4378;27;9;2025;18;0;27;9;2025;20;0
12;10;50.0755;14.4378;27;9;2025;18;0;27;9;2025;20;0
13;70;49.3088;14.1475;28;9;2025;17;0;28;9;2025;19;0
14;40;49.3088;14.1475;28;9;2025;17;0;28;9;2025;19;0
15;10;49.3088;14.1475;28;9;2025;17;0;28;9;2025;19;0
16;70;50.6607;14.0322;28;9;2025;18;0;28;9;2025;20;0
17;40;50.6607;14.0322;28;9;2025;18;0;28;9;2025;20;0
18;10;50.6607;14.0322;28;9;2025;18;0;28;9;2025;20;0
19;70;49.8209;18.2625;1;10;2025;17;30;1;10;2025;19;30
20;40;49.8209;18.2625;1;10;2025;17;30;1;10;2025;19;30
21;10;49.8209;18.2625;1;10;2025;17;30;1;10;2025;19;30
22;70;50.0755;14.4378;1;10;2025;20;0;1;10;2025;22;0
23;40;50.0755;14.4378;1;10;2025;20;0;1;10;2025;22;0
24;10;50.0755;14.4378;1;10;2025;20;0;1;10;2025;22;0
25;70;50.0343;15.7812;1;10;2025;17;30;1;10;2025;19;30
26;40;50.0343;15.7812;1;10;2025;17;30;1;10;2025;19;30
27;10;50.0343;15.7812;1;10;2025;17;30;1;10;2025;19;30
28;70;50.1861;15.0417;1;10;2025;18;30;1;10;2025;20;30
29;40;50.1861;15.0417;1;10;2025;18;30;1;10;2025;20;30
30;10;50.1861;15.0417;1;10;2025;18;30;1;10;2025;20;30
31;70;49.1951;16.6068;2;10;2025;18;0;2;10;2025;20;0
32;40;49.1951;16.6068;2;10;2025;18;0;2;10;2025;20;0
33;10;49.1951;16.6068;2;10;2025;18;0;2;10;2025;20;0
34;70;50.0281;15.2006;2;10;2025;17;45;2;10;2025;19;45
35;40;50.0281;15.2006;2;10;2025;17;45;2;10;2025;19;45
36;10;50.0281;15.2006;2;10;2025;17;45;2;10;2025;19;45
37;70;50.0755;14.4378;4;10;2025;18;0;4;10;2025;20;0
38;40;50.0755;14.4378;4;10;2025;18;0;4;10;2025;20;0
39;10;50.0755;14.4378;4;10;2025;18;0;4;10;2025;20;0
40;70;50.6607;14.0322;4;10;2025;18;0;4;10;2025;20;0
41;40;50.6607;14.0322;4;10;2025;18;0;4;10;2025;20;0
42;10;50.6607;14.0322;4;10;2025;18;0;4;10;2025;20;0
43;70;49.3088;14.1475;4;10;2025;18;0;4;10;2025;20;0
44;40;49.3088;14.1475;4;10;2025;18;0;4;10;2025;20;0
45;10;49.3088;14.1475;4;10;2025;18;0;4;10;2025;20;0
46;70;49.1439;15.003;5;10;2025;18;0;5;10;2025;20;0
47;40;49.1439;15.003;5;10;2025;18;0;5;10;2025;20;0
48;10;49.1439;15.003;5;10;2025;18;0;5;10;2025;20;0
49;70;49.4719;17.1102;5;10;2025;18;0;5;10;2025;20;0
50;40;49.4719;17.1102;5;10;2025;18;0;5;10;2025;20;0
51;10;49.4719;17.1102;5;10;2025;18;0;5;10;2025;20;0
52;70;49.9391;17.9026;5;10;2025;18;0;5;10;2025;20;0
53;40;49.9391;17.9026;5;10;2025;18;0;5;10;2025;20;0
54;10;49.9391;17.9026;5;10;2025;18;0;5;10;2025;20;0
55;70;49.8209;18.2625;11;10;2025;17;30;11;10;2025;19;30
56;40;49.8209;18.2625;11;10;2025;17;30;11;10;2025;19;30
57;10;49.8209;18.2625;11;10;2025;17;30;11;10;2025;19;30
58;70;49.1951;16.6068;11;10;2025;18;0;11;10;2025;20;0
59;40;49.1951;16.6068;11;10;2025;18;0;11;10;2025;20;0
60;10;49.1951;16.6068;11;10;2025;18;0;11;10;2025;20;0
61;70;50.0281;15.2006;11;10;2025;17;45;11;10;2025;19;45
62;40;50.0281;15.2006;11;10;2025;17;45;11;10;2025;19;45
63;10;50.0281;15.2006;11;10;2025;17;45;11;10;2025;19;45
64;70;50.1861;15.0417;12;10;2025;15;0;12;10;2025;17;0
65;40;50.1861;15.0417;12;10;2025;15;0;12;10;2025;17;0
66;10;50.1861;15.0417;12;10;2025;15;0;12;10;2025;17;0
67;70;50.0343;15.7812;12;10;2025;17;30;12;10;2025;19;30
68;40;50.0343;15.7812;12;10;2025;17;30;12;10;2025;19;30
69;10;50.0343;15.7812;12;10;2025;17;30;12;10;2025;19;30
70;70;50.0755;14.4378;12;10;2025;20;0;12;10;2025;22;0
71;40;50.0755;14.4378;12;10;2025;20;0;12;10;2025;22;0
72;10;50.0755;14.4378;12;10;2025;20;0;12;10;2025;22;0
73;70;49.4719;17.1102;15;10;2025;18;0;15;10;2025;20;0
74;40;49.4719;17.1102;15;10;2025;18;0;15;10;2025;20;0
75;10;49.4719;17.1102;15;10;2025;18;0;15;10;2025;20;0
76;70;49.9391;17.9026;15;10;2025;18;0;15;10;2025;20;0
77;40;49.9391;17.9026;15;10;2025;18;0;15;10;2025;20;0
78;10;49.9391;17.9026;15;10;2025;18;0;15;10;2025;20;0
79;70;49.1439;15.003;15;10;2025;18;0;15;10;2025;20;0
80;40;49.1439;15.003;15;10;2025;18;0;15;10;2025;20;0
81;10;49.1439;15.003;15;10;2025;18;0;15;10;2025;20;0
82;70;49.3088;14.1475;16;10;2025;18;0;16;10;2025;20;0
83;40;49.3088;14.1475;16;10;2025;18;0;16;10;2025;20;0
84;10;49.3088;14.1475;16;10;2025;18;0;16;10;2025;20;0
85;70;50.0755;14.4378;16;10;2025;18;0;16;10;2025;20;0
86;40;50.0755;14.4378;16;10;2025;18;0;16;10;2025;20;0
87;10;50.0755;14.4378;16;10;2025;18;0;16;10;2025;20;0
88;70;50.6607;14.0322;16;10;2025;18;0;16;10;2025;20;0
89;40;50.6607;14.0322;16;10;2025;18;0;16;10;2025;20;0
90;10;50.6607;14.0322;16;10;2025;18;0;16;10;2025;20;0
91;70;50.1861;15.0417;18;10;2025;15;0;18;10;2025;17;0
92;40;50.1861;15.0417;18;10;2025;15;0;18;10;2025;17;0
93;10;50.1861;15.0417;18;10;2025;15;0;18;10;2025;17;0
94;70;50.0343;15.7812;18;10;2025;17;30;18;10;2025;19;30
95;40;50.0343;15.7812;18;10;2025;17;30;18;10;2025;19;30
96;10;50.0343;15.7812;18;10;2025;17;30;18;10;2025;19;30
97;70;50.0755;14.4378;18;10;2025;20;0;18;10;2025;22;0
98;40;50.0755;14.4378;18;10;2025;20;0;18;10;2025;22;0
99;10;50.0755;14.4378;18;10;2025;20;0;18;10;2025;22;0
100;70;49.1951;16.6068;18;10;2025;18;0;18;10;2025;20;0
101;40;49.1951;16.6068;18;10;2025;18;0;18;10;2025;20;0
102;10;49.1951;16.6068;18;10;2025;18;0;18;10;2025;20;0
103;70;50.0281;15.2006;18;10;2025;17;45;18;10;2025;19;45
104;40;50.0281;15.2006;18;10;2025;17;45;18;10;2025;19;45
105;10;50.0281;15.2006;18;10;2025;17;45;18;10;2025;19;45
106;70;49.8209;18.2625;19;10;2025;17;30;19;10;2025;19;30
107;40;49.8209;18.2625;19;10;2025;17;30;19;10;2025;19;30
108;10;49.8209;18.2625;19;10;2025;17;30;19;10;2025;19;30
109;70;49.9391;17.9026;22;10;2025;18;0;22;10;2025;20;0
110;40;49.9391;17.9026;22;10;2025;18;0;22;10;2025;20;0
111;10;49.9391;17.9026;22;10;2025;18;0;22;10;2025;20;0
112;70;49.4719;17.1102;22;10;2025;18;0;22;10;2025;20;0
113;40;49.4719;17.1102;22;10;2025;18;0;22;10;2025;20;0
114;10;49.4719;17.1102;22;10;2025;18;0;22;10;2025;20;0
115;70;49.1439;15.003;22;10;2025;18;0;22;10;2025;20;0
116;40;49.1439;15.003;22;10;2025;18;0;22;10;2025;20;0
117;10;49.1439;15.003;22;10;2025;18;0;22;10;2025;20;0
118;70;50.6607;14.0322;23;10;2025;18;0;23;10;2025;20;0
119;40;50.6607;14.0322;23;10;2025;18;0;23;10;2025;20;0
120;10;50.6607;14.0322;23;10;2025;18;0;23;10;2025;20;0
121;70;49.3088;14.1475;23;10;2025;18;0;23;10;2025;20;0
122;40;49.3088;14.1475;23;10;2025;18;0;23;10;2025;20;0
123;10;49.3088;14.1475;23;10;2025;18;0;23;10;2025;20;0
124;70;50.0755;14.4378;23;10;2025;18;0;23;10;2025;20;0
125;40;50.0755;14.4378;23;10;2025;18;0;23;10;2025;20;0
126;10;50.0755;14.4378;23;10;2025;18;0;23;10;2025;20;0
127;70;50.1861;15.0417;25;10;2025;15;0;25;10;2025;17;0
128;40;50.1861;15.0417;25;10;2025;15;0;25;10;2025;17;0
129;10;50.1861;15.0417;25;10;2025;15;0;25;10;2025;17;0
130;70;50.0343;15.7812;25;10;2025;17;30;25;10;2025;19;30
131;40;50.0343;15.7812;25;10;2025;17;30;25;10;2025;19;30
132;10;50.0343;15.7812;25;10;2025;17;30;25;10;2025;19;30
133;70;50.0755;14.4378;25;10;2025;20;0;25;10;2025;22;0
134;40;50.0755;14.4378;25;10;2025;20;0;25;10;2025;22;0
135;10;50.0755;14.4378;25;10;2025;20;0;25;10;2025;22;0
136;70;49.1951;16.6068;26;10;2025;18;0;26;10;2025;20;0
137;40;49.1951;16.6068;26;10;2025;18;0;26;10;2025;20;0
138;10;49.1951;16.6068;26;10;2025;18;0;26;10;2025;20;0
139;70;50.0281;15.2006;26;10;2025;17;45;26;10;2025;19;45
