RequiredRank;Lat;Lon;StartDay;StartMonth;StartYear;StartHour;StartMinute;EndDay;EndMonth;EndYear;EndHour;EndMinute
70;49.4719;17.1102;26;9;2025;17;0;26;9;2025;19;0
40;49.4719;17.1102;26;9;2025;17;0;26;9;2025;19;0
10;49.4719;17.1102;26;9;2025;17;0;26;9;2025;19;0
70;49.9391;17.9026;27;9;2025;18;30;27;9;2025;20;30
40;49.9391;17.9026;27;9;2025;18;30;27;9;2025;20;30
10;49.9391;17.9026;27;9;2025;18;30;27;9;2025;20;30
70;50.0755;14.4378;27;9;2025;17;30;27;9;2025;19;30
40;50.0755;14.4378;27;9;2025;17;30;27;9;2025;19;30
10;50.0755;14.4378;27;9;2025;17;30;27;9;2025;19;30
70;50.0755;14.4378;27;9;2025;18;0;27;9;2025;20;0
40;50.0755;14.4378;27;9;2025;18;0;27;9;2025;20;0
10;50.0755;14.4378;27;9;2025;18;0;27;9;2025;20;0
70;49.3088;14.1475;28;9;2025;17;0;28;9;2025;19;0
40;49.3088;14.1475;28;9;2025;17;0;28;9;2025;19;0
10;49.3088;14.1475;28;9;2025;17;0;28;9;2025;19;0
70;50.6607;14.0322;28;9;2025;18;0;28;9;2025;20;0
40;50.6607;14.0322;28;9;2025;18;0;28;9;2025;20;0
10;50.6607;14.0322;28;9;2025;18;0;28;9;2025;20;0
70;49.8209;18.2625;1;10;2025;17;30;1;10;2025;19;30
40;49.8209;18.2625;1;10;2025;17;30;1;10;2025;19;30
10;49.8209;18.2625;1;10;2025;17;30;1;10;2025;19;30
70;50.0755;14.4378;1;10;2025;20;0;1;10;2025;22;0
40;50.0755;14.4378;1;10;2025;20;0;1;10;2025;22;0
10;50.0755;14.4378;1;10;2025;20;0;1;10;2025;22;0
70;50.0343;15.7812;1;10;2025;17;30;1;10;2025;19;30
40;50.0343;15.7812;1;10;2025;17;30;1;10;2025;19;30
10;50.0343;15.7812;1;10;2025;17;30;1;10;2025;19;30
70;50.1861;15.0417;1;10;2025;18;30;1;10;2025;20;30
40;50.1861;15.0417;1;10;2025;18;30;1;10;2025;20;30
10;50.1861;15.0417;1;10;2025;18;30;1;10;2025;20;30
70;49.1951;16.6068;2;10;2025;18;0;2;10;2025;20;0
40;49.1951;16.6068;2;10;2025;18;0;2;10;2025;20;0
10;49.1951;16.6068;2;10;2025;18;0;2;10;2025;20;0
70;50.0281;15.2006;2;10;2025;17;45;2;10;2025;19;45
40;50.0281;15.2006;2;10;2025;17;45;2;10;2025;19;45
10;50.0281;15.2006;2;10;2025;17;45;2;10;2025;19;45
70;50.0755;14.4378;4;10;2025;18;0;4;10;2025;20;0
40;50.0755;14.4378;4;10;2025;18;0;4;10;2025;20;0
