Id;RequiredRank;Lat;Lon;StartDay;StartMonth;StartYear;StartHour;StartMinute;EndDay;EndMonth;EndYear;EndHour;EndMinute
1;1;49.2758;16.6611;16;5;2026;14;0;16;5;2026;16;0
2;1;49.7276;13.3735;15;5;2026;10;0;15;5;2026;12;0
3;1;50.0476;14.4377;15;5;2026;9;0;15;5;2026;11;0
4;1;50.1216;14.3318;15;5;2026;13;0;15;5;2026;15;0
5;3;50.0828;14.3757;15;5;2026;17;0;15;5;2026;19;0
6;3;49.2347;16.6865;15;5;2026;14;0;15;5;2026;16;0
7;3;49.7681;18.1994;16;5;2026;14;0;16;5;2026;16;0
8;1;49.8234;18.3258;15;5;2026;14;0;15;5;2026;16;0
9;1;49.8001;13.2919;15;5;2026;17;0;15;5;2026;19;0
10;3;49.7580;18.2167;15;5;2026;9;0;15;5;2026;11;0
11;1;49.8916;18.3512;15;5;2026;17;0;15;5;2026;19;0
12;1;50.1738;14.5053;15;5;2026;14;0;15;5;2026;16;0
13;1;49.8263;18.3529;15;5;2026;14;0;15;5;2026;16;0
14;3;50.1771;14.3730;16;5;2026;14;0;16;5;2026;16;0
15;1;49.7610;18.2393;15;5;2026;13;0;15;5;2026;15;0
16;1;49.9900;14.4154;15;5;2026;17;0;15;5;2026;19;0
17;1;50.1503;14.3337;15;5;2026;14;0;15;5;2026;16;0
18;1;50.1683;14.4339;15;5;2026;14;0;15;5;2026;16;0
19;2;49.8269;13.3109;15;5;2026;13;0;15;5;2026;15;0
20;3;49.7562;18.3091;16;5;2026;9;0;16;5;2026;11;0
21;1;50.0717;14.5197;15;5;2026;17;0;15;5;2026;19;0
22;2;49.1912;16.5365;15;5;2026;10;0;15;5;2026;12;0
23;2;49.6970;13.3576;15;5;2026;17;0;15;5;2026;19;0
24;1;49.8264;13.2907;16;5;2026;9;0;16;5;2026;11;0
25;2;50.1285;14.3511;15;5;2026;13;0;15;5;2026;15;0
26;3;49.2275;16.6806;16;5;2026;9;0;16;5;2026;11;0
27;1;50.1069;14.4859;15;5;2026;13;0;15;5;2026;15;0
28;3;49.2174;16.5624;16;5;2026;17;0;16;5;2026;19;0
29;1;50.0024;14.5090;15;5;2026;13;0;15;5;2026;15;0
30;2;49.1760;16.5184;15;5;2026;13;0;15;5;2026;15;0
31;2;49.2264;16.6434;16;5;2026;17;0;16;5;2026;19;0
32;1;49.2752;16.5574;15;5;2026;14;0;15;5;2026;16;0
33;3;50.0159;14.5049;15;5;2026;13;0;15;5;2026;15;0
34;1;49.2475;16.5316;16;5;2026;10;0;16;5;2026;12;0
35;2;49.2533;16.6021;15;5;2026;10;0;15;5;2026;12;0
36;2;50.1120;14.3997;15;5;2026;13;0;15;5;2026;15;0
37;2;49.7683;13.3499;15;5;2026;9;0;15;5;2026;11;0
38;2;49.6757;13.4625;15;5;2026;9;0;15;5;2026;11;0
39;3;49.7991;18.3373;15;5;2026;14;0;15;5;2026;16;0
40;1;49.1409;16.6518;15;5;2026;13;0;15;5;2026;15;0
41;2;49.7440;18.3129;16;5;2026;9;0;16;5;2026;11;0
42;2;49.7414;13.4034;16;5;2026;13;0;16;5;2026;15;0
43;3;49.1284;16.6430;15;5;2026;17;0;15;5;2026;19;0
44;2;49.7212;13.4368;16;5;2026;10;0;16;5;2026;12;0
45;2;49.8872;18.3013;16;5;2026;14;0;16;5;2026;16;0
46;1;49.8651;18.2822;15;5;2026;13;0;15;5;2026;15;0
47;1;49.6587;13.4604;16;5;2026;10;0;16;5;2026;12;0
48;3;49.1195;16.5192;15;5;2026;14;0;15;5;2026;16;0
49;3;49.9072;18.2951;16;5;2026;14;0;16;5;2026;16;0
50;1;49.1195;16.6475;16;5;2026;10;0;16;5;2026;12;0
51;3;49.2508;16.6492;15;5;2026;17;0;15;5;2026;19;0
52;1;49.2735;16.5343;16;5;2026;17;0;16;5;2026;19;0
53;3;49.8300;13.4483;16;5;2026;10;0;16;5;2026;12;0
54;2;49.8200;18.3304;16;5;2026;10;0;16;5;2026;12;0
55;1;49.7280;13.4127;16;5;2026;13;0;16;5;2026;15;0
56;1;49.8186;13.2861;15;5;2026;14;0;15;5;2026;16;0
57;3;49.2313;16.5229;16;5;2026;17;0;16;5;2026;19;0
58;3;49.8132;18.2214;16;5;2026;17;0;16;5;2026;19;0
59;3;50.1514;14.4731;16;5;2026;9;0;16;5;2026;11;0
60;3;49.6997;13.3480;15;5;2026;14;0;15;5;2026;16;0
61;3;49.1446;16.6071;16;5;2026;14;0;16;5;2026;16;0
62;1;49.2581;16.6939;16;5;2026;17;0;16;5;2026;19;0
63;3;49.9968;14.4057;15;5;2026;9;0;15;5;2026;11;0
64;2;49.7158;13.3123;16;5;2026;14;0;16;5;2026;16;0
