Id;RequiredRank;Lat;Lon;StartDay;StartMonth;StartYear;StartHour;StartMinute;EndDay;EndMonth;EndYear;EndHour;EndMinute
1;1;49.2809;16.6579;16;5;2026;14;0;16;5;2026;16;0
2;1;49.7260;13.3771;15;5;2026;10;0;15;5;2026;12;0
3;1;50.0554;14.4382;15;5;2026;9;0;15;5;2026;11;0
4;1;50.1294;14.3323;15;5;2026;13;0;15;5;2026;15;0
5;3;50.0906;14.3762;15;5;2026;17;0;15;5;2026;19;0
6;3;49.2398;16.6833;15;5;2026;14;0;15;5;2026;16;0
7;3;49.7590;18.1819;16;5;2026;14;0;16;5;2026;16;0
8;1;49.8143;18.3083;15;5;2026;14;0;15;5;2026;16;0
9;1;49.7985;13.2955;15;5;2026;17;0;15;5;2026;19;0
10;3;49.7489;18.1992;15;5;2026;9;0;15;5;2026;11;0
11;1;49.8825;18.3337;15;5;2026;17;0;15;5;2026;19;0
12;1;50.1816;14.5058;15;5;2026;14;0;15;5;2026;16;0
13;1;49.8172;18.3354;15;5;2026;14;0;15;5;2026;16;0
14;3;50.1849;14.3735;16;5;2026;14;0;16;5;2026;16;0
15;1;49.7519;18.2218;15;5;2026;13;0;15;5;2026;15;0
16;1;49.9978;14.4159;15;5;2026;17;0;15;5;2026;19;0
17;1;50.1581;14.3342;15;5;2026;14;0;15;5;2026;16;0
18;1;50.1761;14.4344;15;5;2026;14;0;15;5;2026;16;0
19;2;49.8253;13.3145;15;5;2026;13;0;15;5;2026;15;0
20;3;49.7471;18.2916;16;5;2026;9;0;16;5;2026;11;0
21;1;50.0795;14.5202;15;5;2026;17;0;15;5;2026;19;0
22;2;49.1963;16.5333;15;5;2026;10;0;15;5;2026;12;0
23;2;49.6954;13.3612;15;5;2026;17;0;15;5;2026;19;0
24;1;49.8248;13.2943;16;5;2026;9;0;16;5;2026;11;0
25;2;50.1363;14.3516;15;5;2026;13;0;15;5;2026;15;0
26;3;49.2326;16.6774;16;5;2026;9;0;16;5;2026;11;0
27;1;50.1147;14.4864;15;5;2026;13;0;15;5;2026;15;0
28;3;49.2225;16.5592;16;5;2026;17;0;16;5;2026;19;0
29;1;50.0102;14.5095;15;5;2026;13;0;15;5;2026;15;0
30;2;49.1811;16.5152;15;5;2026;13;0;15;5;2026;15;0
31;2;49.2315;16.6402;16;5;2026;17;0;16;5;2026;19;0
32;1;49.2803;16.5541;15;5;2026;14;0;15;5;2026;16;0
33;3;50.0237;14.5054;15;5;2026;13;0;15;5;2026;15;0
34;1;49.2526;16.5284;16;5;2026;10;0;16;5;2026;12;0
35;2;49.2584;16.5989;15;5;2026;10;0;15;5;2026;12;0
36;2;50.1198;14.4002;15;5;2026;13;0;15;5;2026;15;0
37;2;49.7667;13.3535;15;5;2026;9;0;15;5;2026;11;0
38;2;49.6741;13.4661;15;5;2026;9;0;15;5;2026;11;0
39;3;49.7900;18.3198;15;5;2026;14;0;15;5;2026;16;0
40;1;49.1460;16.6486;15;5;2026;13;0;15;5;2026;15;0
41;2;49.7349;18.2953;16;5;2026;9;0;16;5;2026;11;0
42;2;49.7398;13.4070;16;5;2026;13;0;16;5;2026;15;0
43;3;49.1335;16.6398;15;5;2026;17;0;15;5;2026;19;0
44;2;49.7196;13.4403;16;5;2026;10;0;16;5;2026;12;0
45;2;49.8781;18.2838;16;5;2026;14;0;16;5;2026;16;0
46;1;49.8560;18.2647;15;5;2026;13;0;15;5;2026;15;0
47;1;49.6571;13.4640;16;5;2026;10;0;16;5;2026;12;0
48;3;49.1246;16.5160;15;5;2026;14;0;15;5;2026;16;0
49;3;49.8981;18.2776;16;5;2026;14;0;16;5;2026;16;0
50;1;49.1246;16.6443;16;5;2026;10;0;16;5;2026;12;0
51;3;49.2559;16.6460;15;5;2026;17;0;15;5;2026;19;0
52;1;49.2786;16.5311;16;5;2026;17;0;16;5;2026;19;0
53;3;49.8284;13.4519;16;5;2026;10;0;16;5;2026;12;0
54;2;49.8109;18.3129;16;5;2026;10;0;16;5;2026;12;0
55;1;49.7264;13.4163;16;5;2026;13;0;16;5;2026;15;0
56;1;49.8170;13.2897;15;5;2026;14;0;15;5;2026;16;0
57;3;49.2364;16.5196;16;5;2026;17;0;16;5;2026;19;0
58;3;49.8041;18.2039;16;5;2026;17;0;16;5;2026;19;0
59;3;50.1591;14.4736;16;5;2026;9;0;16;5;2026;11;0
60;3;49.6981;13.3516;15;5;2026;14;0;15;5;2026;16;0
